Modulo;Time;CPU usage %;Cores usage %;RAM usage %;RAM active;RAM total;RAM Available;RAM Used;GPUs: [{'id': '[0]', 'model': 'TeslaV100-SXM2-32GB', 'mem_total': '32768MB'}, {'id': '[1]', 'model': 'TeslaV100-SXM2-32GB', 'mem_total': '32768MB'}]
Inizio;1715035659.0739305; 7.9; [0.0, 2.8, 0.0, 0.0, 38.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 2.7, 0.0, 0.0, 2.8, 2.8, 0.0]; 3.6; 9.803634643554688 GB; 62.7955207824707 GB; 60.563934326171875 GB; 1.3657646179199219 GB; [{'temp': '34°C', 'cpu_usage': '0%', 'mem_used': '0'}, {'temp': '34°C', 'cpu_usage': '0%', 'mem_used': '0'}]
New Project;1715035664.486426; 6.9; [0.7, 18.0, 0.4, 4.9, 2.8, 0.2, 0.4, 0.0, 0.7, 0.4, 2.5, 0.2, 0.6, 0.9, 0.8, 0.6, 20.6, 59.2, 0.6, 0.2, 0.4, 0.0, 20.6, 0.4, 0.2, 78.6, 0.9, 0.2, 2.8, 0.6, 1.5, 2.6]; 3.6; 9.803909301757812 GB; 62.7955207824707 GB; 60.56519317626953 GB; 1.3649864196777344 GB; [{'temp': '35°C', 'cpu_usage': '0%', 'mem_used': '0'}, {'temp': '34°C', 'cpu_usage': '0%', 'mem_used': '0'}]
addPhotos;1715035669.9031115; 6.9; [0.4, 0.6, 0.4, 2.1, 0.6, 0.4, 0.4, 0.2, 2.0, 0.0, 4.2, 0.0, 0.4, 0.0, 0.6, 0.2, 0.0, 99.8, 0.0, 0.0, 0.4, 0.2, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 3.0, 0.9, 0.4, 2.4]; 3.6; 9.80355453491211 GB; 62.7955207824707 GB; 60.56399917602539 GB; 1.365692138671875 GB; [{'temp': '34°C', 'cpu_usage': '0%', 'mem_used': '0'}, {'temp': '34°C', 'cpu_usage': '0%', 'mem_used': '0'}]
matchPhotos;1715035675.2838457; 7.1; [0.4, 3.5, 0.4, 2.1, 0.6, 0.2, 0.6, 0.0, 1.7, 0.4, 4.0, 0.7, 0.4, 0.2, 0.7, 2.6, 0.9, 100.0, 0.6, 0.0, 0.4, 0.2, 0.2, 0.2, 0.2, 100.0, 0.7, 0.2, 2.6, 0.6, 1.1, 0.4]; 3.6; 9.8028564453125 GB; 62.7955207824707 GB; 60.564231872558594 GB; 1.3654670715332031 GB; [{'temp': '34°C', 'cpu_usage': '0%', 'mem_used': '14'}, {'temp': '34°C', 'cpu_usage': '0%', 'mem_used': '2'}]
matchPhotos;1715035680.668188; 12.4; [1.7, 37.1, 3.2, 1.5, 0.2, 1.3, 0.2, 0.2, 3.2, 0.6, 50.3, 0.4, 26.4, 0.2, 0.4, 10.1, 0.0, 61.3, 0.4, 0.2, 0.2, 0.2, 0.2, 0.4, 0.6, 94.5, 0.2, 0.2, 8.2, 0.4, 42.0, 54.5]; 4.6; 10.098613739013672 GB; 62.7955207824707 GB; 59.87571334838867 GB; 2.014923095703125 GB; [{'temp': '36°C', 'cpu_usage': '0%', 'mem_used': '2258'}, {'temp': '35°C', 'cpu_usage': '0%', 'mem_used': '2258'}]
matchPhotos;1715035686.0560775; 12.1; [6.6, 91.7, 62.8, 1.1, 0.2, 0.4, 1.1, 0.7, 1.7, 0.4, 3.2, 46.7, 1.9, 0.6, 0.4, 51.1, 0.4, 0.2, 0.9, 0.0, 0.4, 0.0, 0.0, 0.4, 0.0, 0.0, 0.6, 0.0, 9.3, 0.6, 28.4, 81.2]; 4.4; 9.943737030029297 GB; 62.7955207824707 GB; 60.03098678588867 GB; 1.8597183227539062 GB; [{'temp': '36°C', 'cpu_usage': '1%', 'mem_used': '628'}, {'temp': '35°C', 'cpu_usage': '33%', 'mem_used': '648'}]
alignCameras;1715035691.5081768; 20.7; [16.2, 13.9, 19.7, 15.5, 10.6, 13.1, 19.9, 27.7, 13.8, 11.2, 11.1, 29.2, 11.9, 26.5, 27.9, 11.7, 22.9, 33.7, 11.4, 11.7, 10.0, 13.4, 11.5, 12.8, 87.0, 10.2, 13.4, 84.2, 27.0, 12.3, 12.2, 15.1]; 4.2; 9.984386444091797 GB; 62.7955207824707 GB; 60.170249938964844 GB; 1.7399139404296875 GB; [{'temp': '37°C', 'cpu_usage': '0%', 'mem_used': '318'}, {'temp': '36°C', 'cpu_usage': '0%', 'mem_used': '318'}]
alignCameras;1715035696.8823817; 75.3; [71.2, 71.5, 75.4, 80.5, 77.5, 78.8, 78.7, 68.9, 74.6, 71.6, 75.1, 71.9, 79.8, 73.4, 76.6, 75.9, 73.8, 81.2, 69.6, 75.0, 73.8, 74.4, 79.2, 73.0, 77.2, 72.8, 80.0, 79.3, 73.8, 78.5, 72.2, 72.8]; 4.5; 10.173744201660156 GB; 62.7955207824707 GB; 59.990230560302734 GB; 1.9199333190917969 GB; [{'temp': '37°C', 'cpu_usage': '0%', 'mem_used': '318'}, {'temp': '36°C', 'cpu_usage': '0%', 'mem_used': '318'}]
alignCameras;1715035702.2891624; 87.2; [87.5, 85.3, 84.7, 94.6, 88.1, 86.4, 92.7, 85.7, 85.7, 85.6, 89.6, 85.4, 87.2, 86.3, 95.3, 85.1, 84.9, 85.8, 85.8, 87.5, 85.7, 84.9, 84.7, 90.5, 85.7, 85.4, 84.6, 86.7, 86.6, 97.2, 85.3, 85.7]; 4.5; 10.1751708984375 GB; 62.7955207824707 GB; 59.985652923583984 GB; 1.9245071411132812 GB; [{'temp': '37°C', 'cpu_usage': '0%', 'mem_used': '318'}, {'temp': '36°C', 'cpu_usage': '0%', 'mem_used': '318'}]
alignCameras;1715035707.769954; 89.9; [89.5, 91.1, 88.9, 89.2, 88.5, 89.1, 95.3, 89.1, 89.4, 89.3, 92.9, 89.5, 89.6, 91.9, 89.8, 88.9, 89.8, 89.5, 89.6, 93.9, 89.6, 88.5, 88.5, 88.5, 90.4, 88.7, 89.4, 90.4, 89.4, 90.9, 89.1, 88.7]; 4.4; 10.159004211425781 GB; 62.7955207824707 GB; 60.00611877441406 GB; 1.9040412902832031 GB; [{'temp': '37°C', 'cpu_usage': '0%', 'mem_used': '318'}, {'temp': '36°C', 'cpu_usage': '0%', 'mem_used': '318'}]
